Typ,Tema,Deltagare,Arrangor
Monterprogram,Historia,Carin Myrberg,Carin Myrberg Agency
Monterprogram,Barn och ungdom / Bibliotek / Fantasy och science fiction / Historia / Skola,,Roslagstext
,Bibliotek / Samhälle och debatt / Skola / Yttrandefrihet,Jonas Ingvarsson,Forskartorget/Humtank
Scenprogram,Livsåskådning,,Se människan
Scenprogram,Barn och ungdom / Samhälle och debatt / Yttrandefrihet,"Eva Åhlén, Linda Nordin, Minna Strömberg",UNICEF med FN-familjen
Scenprogram,Barn och ungdom / Bibliotek / Livsåskådning / Samhälle och debatt / Skola,"Gunilla Bergström, Kristin Molander","Se människan, Rabén och Sjögren"
"Monterprogram, Scenprogram",Barn och ungdom / Samhälle och debatt / Skola,,Forskartorget/Linköpings universitet
,,"Bengt Källgren, Roland Karlsson",Kultur i Väst
,Historia / Samhälle och debatt / Yttrandefrihet,Ulrika Knutson,Kultur i Väst
,Historia,"Ingrid Elam, Johan Svedjedal, Kerstin Brunnberg",Almqvistsällskapet
Monterprogram,Samhälle och debatt / Serier / Yttrandefrihet,,"Global Free Speech, Göteborgs universitet"
Monterprogram,Skola,,Natur & Kultur
,Skola,"Lars Dalesjö, Pernilla Glaser, Rebecca Forsberg",Helsingborg Arena & Scen
Monterprogram,,"Henrik Huldén, Katarina Gäddnäs",Litorale
,Skola,Sara Bruun,Lärarnas Riksförbund
Monterprogram,,,Studieförbundet Vuxenskolan
,Barn och ungdom,Ingrid Källström,"Myndigheten för tillgängliga medier, MTM"
,Barn och ungdom / Hälsa och livsstil / Samhälle och debatt / Skola,Alwa Woxlin,Bokförlaget K&R
,Bibliotek / Samhälle och debatt,"Birgitta Wallin, Skans Kersti Nilsson",Axiell
,Hälsa och livsstil,Katarina Blom,Habitud
,Yttrandefrihet,"Eva Gedin, Gunnar Ardelius, Lena Andersson, Malin Koch",Sveriges Författarförbund
Monterprogram,Samhälle och debatt / Serier / Yttrandefrihet,,"Global Free Speech, Göteborgs universitet"
,Barn och ungdom,"David Söderman, Jonas Larsson",Statens institutionsstyrelse
